ID_EMPLEADO,NOMBRES,APELLIDOS,EMAIL,TELEFONO,FECHA_INGRESO,ID_CARGOS,SUELDO,PCT_COMISION,ID_GERENTE,ID_DPTO
100,STEVEN,KING,SKING,5.151.234.567,1987-06-17,AD_PRES,24000,.00,100,90
101,NEENA,KOCHHAR,NKOCHHAR,5.151.234.568,1989-09-21,AD_VP,17000,.00,100,90
102,LEX,DE HAAN,LDEHAAN,5.151.234.569,1993-01-13,AD_VP,17000,.00,100,90
103,ALEXANDER,HUNOLD,AHUNOLD,5.904.234.567,1990-01-03,IT_PROG,9000,.00,103,60
104,BRUCE,ERNST,BERNST,5.904.234.568,1991-05-21,IT_PROG,6000,.00,103,60
105,DAVID,AUSTIN,DAUSTIN,5.904.234.569,1997-06-25,IT_PROG,4800,.00,103,60
106,VALLI,PATABALLA,VPATABAL,5.904.234.560,1998-02-05,IT_PROG,4800,.00,103,60
107,DIANA,LORENTZ,DLORENTZ,5.904.235.567,1999-02-07,IT_PROG,4200,.00,103,60
108,NANCY,GREENBERG,NGREENBE,5.151.244.569,1994-08-17,FI_MGR,12000,.00,108,100
109,DANIEL,FAVIET,DFAVIET,5.151.244.169,1994-08-16,FI_ACCOUNT,9000,.00,108,100
110,JOHN,CHEN,JCHEN,5.151.244.269,1997-09-28,FI_ACCOUNT,8200,.00,108,100
111,ISMAEL,SCIARRA,ISCIARRA,5.151.244.369,1997-09-30,FI_ACCOUNT,7700,.00,108,100
112,JOSE MANUEL,URMAN,JMURMAN,5.151.244.469,1998-03-07,FI_ACCOUNT,7800,.00,108,100
113,LUIS,POPP,LPOPP,5.151.244.567,1999-12-07,FI_ACCOUNT,6900,.00,108,100
114,DEN,RAPHAELY,DRAPHEAL,5.151.274.561,1994-12-07,PU_MAN,11000,.00,114,30
115,ALEXANDER,KHOO,AKHOO,5.151.274.562,1995-05-18,PU_CLERK,3100,.00,114,30
116,SHELLI,BAIDA,SBAIDA,5.151.274.563,1997-12-24,PU_CLERK,2900,.00,114,30
